,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
25409,0.39865,0.4133,0.34443,0.51295,0.7129,0.71802,0.70276,0.72304,0.42017,0.01248,0.45283,0.33793,74.46,0.0,0.0,1.0
60978,0.2543,0.41154,0.26178,0.7449,0.99028,0.99548,0.97956,1.00049,0.66322,0.03041,0.7506,0.33303,46.23,1.0,0.0,0.0
178902,0.53373,0.56717,0.5009,0.69716,0.99358,1.00134,0.96939,1.00753,0.58204,0.0625,0.10297,0.12737,47.78,0.0,0.0,1.0
147130,0.58828,0.52125,0.55391,0.60676,0.70476,0.73391,0.67426,0.74984,0.3399,0.00429,0.06969,0.08444,78.14,0.0,0.0,1.0
62601,0.22589,0.30348,0.18824,0.40756,0.95313,0.97901,0.91653,0.99644,0.24299,0.00034,0.8202,0.45059,51.4,1.0,0.0,0.0
97386,0.21998,0.37828,0.15062,0.44067,0.8679,0.94511,0.80295,0.98705,0.03117,0.00033,0.91548,0.52922,53.89,1.0,0.0,0.0
3745,0.57507,0.51392,0.53476,0.55868,0.65673,0.69348,0.62558,0.71798,0.21865,0.00073,0.52939,0.42962,74.25,0.0,0.0,1.0
67259,0.19351,0.19518,0.12298,0.26012,0.85166,0.92343,0.80179,0.97189,0.0431,0.00062,0.68607,0.2986,77.56,1.0,0.0,0.0
7972,0.34162,0.27368,0.2542,0.3152,0.56768,0.57708,0.5461,0.58281,0.21402,0.00283,0.36101,0.19494,82.08,0.0,0.0,1.0
113806,0.54262,0.55126,0.51205,0.60167,0.93614,0.98341,0.86737,1.01396,0.32804,0.01164,0.08289,0.10196,41.58,0.0,0.0,1.0
88246,0.24633,0.30653,0.22217,0.43948,0.992,0.99574,0.9869,0.99984,0.7576,0.09064,0.85033,0.43137,47.02,1.0,0.0,0.0
68900,0.99897,0.93164,0.95155,0.88595,0.92834,0.97175,0.87541,0.99665,0.11414,0.00036,0.12832,0.17105,34.32,1.0,0.0,0.0
109494,0.40403,0.4121,0.36963,0.47222,0.95589,0.9882,0.90677,1.01004,0.42148,0.19257,0.2182,0.19285,47.7,0.0,0.0,1.0
155556,0.84087,0.80335,0.82479,0.8457,0.93325,0.95485,0.8947,0.96298,0.75082,0.21165,0.08482,0.10662,41.37,0.0,0.0,1.0
153115,0.65958,0.64222,0.63609,0.72417,0.97188,0.9746,0.95011,0.97524,0.69731,0.15716,0.08698,0.1083,51.78,0.0,0.0,1.0
49369,0.36857,0.67064,0.348,0.88008,0.94739,0.97624,0.90691,0.99675,0.20778,0.0004,0.749,0.42252,56.43,1.0,0.0,0.0
105380,0.65061,0.4997,0.58736,0.63312,0.65128,0.65641,0.6497,0.66177,0.55432,0.2154,0.12981,0.1486,84.41,0.0,0.0,1.0
179516,0.60581,0.55015,0.58098,0.60476,0.73647,0.78501,0.70371,0.81356,0.41589,0.03,0.07691,0.09507,74.0,0.0,0.0,1.0
132786,0.74522,0.72656,0.77112,0.74278,0.76661,0.78557,0.72089,0.7799,0.18454,0.00043,0.05108,0.06336,45.26,0.0,0.0,1.0
51011,0.19672,0.21412,0.13065,0.34072,0.93456,0.95315,0.94535,0.97618,0.60595,0.01556,0.70359,0.35498,82.18,1.0,0.0,0.0
75094,0.40091,0.56653,0.35504,0.78868,0.99568,0.99779,0.99462,1.00066,0.8529,0.22748,0.85197,0.43818,43.14,1.0,0.0,0.0
13791,0.7526,0.72843,0.75223,0.78747,0.95124,0.98958,0.90774,1.01784,0.53436,0.04799,0.66843,0.52265,43.86,0.0,0.0,1.0
46596,0.45803,0.63162,1.01812,0.92564,0.98657,1.05634,0.9127,1.09837,0.17225,0.00036,0.87451,0.61523,36.61,0.0,0.0,1.0
180152,0.58928,0.56798,0.58106,0.60961,0.90567,0.94984,0.85423,0.97833,0.23018,0.00039,0.60938,0.52191,49.76,0.0,0.0,1.0
177737,0.70882,0.63275,0.67996,0.70777,0.74063,0.75686,0.72378,0.76389,0.59036,0.13208,0.1278,0.14516,76.42,0.0,0.0,1.0
