,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle
113444,0.44375,0.37558,0.41504,0.46047,0.55278,0.58508,0.55787,0.60203,0.26172,0.00466,0.09618,0.11192,82.68
104594,0.76517,0.72682,0.75963,0.7835,0.88485,0.93754,0.88785,0.941,0.70202,0.15623,0.09835,0.11792,50.6
162062,0.78826,0.73405,0.76896,0.77252,0.78887,0.79833,0.77332,0.80281,0.56213,0.085,0.09173,0.11366,63.45
76648,0.27442,0.32107,0.35217,0.38607,0.53519,0.62054,0.56345,0.70275,0.02983,0.00027,0.72892,0.47253,37.31
199649,0.46347,0.35665,0.41035,0.433,0.45374,0.46418,0.44654,0.47374,0.19711,0.00143,0.10102,0.10928,84.41
18136,0.32554,0.34984,0.38888,0.44424,0.65194,0.77422,0.70176,0.89027,0.18792,0.06696,0.76351,0.48929,60.19
100128,0.29982,0.40141,0.42321,0.58613,0.89994,0.96867,0.95439,0.99394,0.48226,0.00189,0.68123,0.46227,61.6
152395,0.69031,0.66948,0.69501,0.7118,0.76161,0.7899,0.75618,0.8129,0.4786,0.05969,0.56555,0.46632,46.47
195775,0.3637,0.28876,0.3423,0.3684,0.43466,0.46731,0.44081,0.49182,0.10793,0.00136,0.11099,0.1199,83.93
71229,0.34774,0.47221,0.56558,0.68928,0.84953,0.95365,0.8638,0.99368,0.10233,0.00032,0.74063,0.52487,46.08
44823,0.28318,0.27589,0.29031,0.36417,0.40457,0.41707,0.41912,0.43566,0.26523,0.00719,0.33228,0.23033,68.36
11988,0.62596,0.61934,0.66516,0.65929,0.73012,0.7826,0.7172,0.81619,0.21542,0.00041,0.57116,0.36612,34.67
40278,0.39809,0.37221,0.39411,0.38859,0.42254,0.45377,0.42229,0.46947,0.20876,0.02156,0.48302,0.35949,72.41
52927,0.35146,0.48525,0.5803,0.83262,0.97954,0.98662,0.97424,0.99486,0.66762,0.02969,0.90391,0.63472,64.27
173467,0.70942,0.66042,0.70014,0.72841,0.77032,0.78642,0.78078,0.8035,0.66657,0.26364,0.14457,0.16979,66.82
7861,0.38477,0.54998,0.60272,0.81593,0.90686,0.96891,0.84809,1.00541,0.05819,0.00034,0.7239,0.42532,52.04
194205,0.6044,0.5046,0.57305,0.61323,0.65265,0.67136,0.65097,0.67936,0.59872,0.27307,0.13522,0.15701,82.56
108774,0.71311,0.67121,0.70004,0.71325,0.77008,0.80389,0.76695,0.83115,0.45379,0.01863,0.08877,0.10894,61.45
102287,0.53735,0.53624,0.56412,0.63356,0.7836,0.81917,0.8282,0.84084,0.72847,0.32843,0.19344,0.22449,42.06
47292,0.66432,0.6149,0.64291,0.59153,0.6443,0.69471,0.61332,0.72827,0.05589,0.00042,0.63553,0.46772,60.09
